Potential (V),Current (A)
-1.79991626739502,-0.000042670224502217
-1.80227267742157,-0.0000428556413680781
-1.80730879306793,-0.0000434695066360291
-1.81235337257385,-0.0000441453921666835
-1.81729972362518,-0.0000447382990387268
-1.82231390476227,-0.0000453442189609632
-1.82737278938293,-0.0000461252348031849
-1.83234322071075,-0.0000467306854261551
-1.83731830120087,-0.0000473557302029803
-1.84229326248169,-0.0000481053102703299
-1.84735023975372,-0.0000488783625769429
-1.85234296321869,-0.0000494654777867254
-1.85731554031372,-0.0000503312476212159
-1.86228358745575,-0.0000509978381160181
-1.8673574924469,-0.0000518492379342206
-1.8723396062851,-0.0000527708325535059
-1.87731468677521,-0.0000534887476533186
-1.88230419158936,-0.0000543316600669641
-1.88732039928436,-0.0000551460070710164
-1.89233613014221,-0.0000559125364816282
-1.89733397960663,-0.0000567302195122465
-1.90233886241913,-0.0000575917074456811
-1.90732944011688,-0.0000582211869186722
-1.91228246688843,-0.0000593082222621888
-1.91725420951843,-0.000060455349739641
-1.92221403121948,-0.0000616189718130045
-1.92734265327454,-0.0000626370747340843
-1.93232464790344,-0.0000636493277852423
-1.93735909461975,-0.0000647094857413322
-1.94231224060059,-0.0000657691562082618
-1.9472883939743,-0.0000670666267978959
-1.95234084129333,-0.0000680839875712991
-1.95728325843811,-0.0000694048212608323
-1.96227443218231,-0.0000707220315234736
-1.96725964546204,-0.0000719157251296565
-1.97227931022644,-0.0000729444946045987
-1.97730159759521,-0.0000743246346246451
-1.98227334022522,-0.0000756821173126809
-1.98726034164429,-0.0000771090053603984
-1.99231112003326,-0.0000785414958954789
-1.99726092815399,-0.0000798203764134087
-2.00225591659546,-0.0000814199665910564
-2.00727677345276,-0.0000829221899039112
-2.01226139068604,-0.0000843732777866535
-2.01729154586792,-0.0000859323627082631
-2.02225852012634,-0.0000876396297826432
-2.02722811698914,-0.0000893885153345764
-2.0322437286377,-0.0000913706826395355
-2.03723430633545,-0.0000933947376324795
-2.04222178459167,-0.0000955092909862287
-2.04724836349487,-0.0000977380259428173
-2.0522313117981,-0.000100497090897989
-2.05725240707397,-0.000103424848930445
-2.06221485137939,-0.000106941493868362
-2.06718420982361,-0.000110685439722147
-2.07223582267761,-0.000114967042463832
-2.07717847824097,-0.000119533186079934
-2.08221077919006,-0.000124529702588916
-2.08729028701782,-0.000129307809402235
-2.09224605560303,-0.000134129877551459
-2.09722352027893,-0.00013855671568308
-2.10224866867065,-0.00014298468886409
-2.1072301864624,-0.000147443264722824
-2.11221551895142,-0.000151659100083634
-2.11723327636719,-0.000155847286805511
-2.1222128868103,-0.000159369737957604
-2.12724709510803,-0.000163187301950529
-2.13222026824951,-0.000167112477356568
-2.13724565505981,-0.000170534491189755
-2.14222502708435,-0.000173870532307774
-2.14720368385315,-0.000177413035999052
-2.15225124359131,-0.000180847448064014
-2.15721917152405,-0.000184092074050568
-2.1621618270874,-0.000187159894267097
-2.16717100143433,-0.000190406673937105
-2.17223453521729,-0.000193851621588692
-2.17719197273254,-0.000197183544514701
-2.18218469619751,-0.00020051967294421
-2.18718123435974,-0.00020404091628734
-2.19224166870117,-0.000207746357773431
-2.19720244407654,-0.000211440157727338
-2.20217680931091,-0.000215356354601681
-2.20726895332336,-0.000219357971218415
-2.21222233772278,-0.000224043833441101
-2.21718335151672,-0.000228734032134525
-2.22220134735107,-0.000233737227972597
-2.22717905044556,-0.000239187123952433
-2.23223161697388,-0.00024512576055713
-2.23720073699951,-0.000251318037044257
-2.24215531349182,-0.000257837004028261
-2.24719023704529,-0.000264699017861858
-2.25222492218018,-0.000272028963081539
-2.25723242759705,-0.00027972215320915
-2.26219725608826,-0.000287541624857113
-2.26717734336853,-0.000295601901598275
-2.27220606803894,-0.000303919397993013
-2.27716827392578,-0.000312106421915814
-2.28220367431641,-0.000320758030284196
-2.28724265098572,-0.000329298607539386
-2.29220819473267,-0.000338012876454741
-2.29719948768616,-0.000346456683473662
-2.30219554901123,-0.0003552233974915
-2.30715751647949,-0.000363720639143139
-2.31217861175537,-0.000372377457097173
-2.31718921661377,-0.000381069607101381
-2.32213020324707,-0.000389714288758114
-2.3271484375,-0.000398232950828969
-2.33221912384033,-0.00040657605859451
-2.33713793754578,-0.000414709356846288
-2.3421676158905,-0.000422746030380949
-2.34712052345276,-0.000430837884778157
-2.35214495658875,-0.000438870454672724
-2.35714268684387,-0.000446497317170724
-2.36215472221375,-0.000453727290732786
-2.36719298362732,-0.000461059011286125
-2.37212681770325,-0.000468237500172108
-2.37713479995728,-0.000475070351967588
-2.3821165561676,-0.000481758266687393
-2.38714146614075,-0.000488379446323961
-2.39217948913574,-0.000495071348268539
-2.39716243743896,-0.000501669535879046
-2.40205454826355,-0.000507996766828001
-2.40716743469238,-0.000514390761964023
-2.41217303276062,-0.000520969682838768
-2.41711759567261,-0.000527789059560746
-2.42209124565125,-0.000534533581230789
-2.42715239524841,-0.000541177112609148
-2.43212032318115,-0.000548415700905025
-2.43708825111389,-0.000555665523279458
-2.4421112537384,-0.000562915403861552
-2.44711852073669,-0.000570112024433911
-2.45216608047485,-0.00057752343127504
-2.45717573165894,-0.000584936933591962
-2.46214008331299,-0.00059286190662533
-2.46709251403809,-0.000600656028836966
-2.47216534614563,-0.000609101727604866
-2.47712683677673,-0.000617384328506887
-2.48207902908325,-0.000625668733846396
-2.48711466789246,-0.000634131021797657
-2.49212002754211,-0.000642564380541444
-2.49711012840271,-0.000651333713904023
-2.50208640098572,-0.00066046166466549
-2.50707793235779,-0.000669673318043351
-2.51212668418884,-0.000679289572872221
-2.51707458496094,-0.000688665546476841
-2.52209115028381,-0.000698435818776488
-2.52715682983398,-0.000708469247911125
-2.53217267990112,-0.000718509894795716
-2.53714203834534,-0.00072845455724746
-2.54211497306824,-0.000738673959858716
-2.54709839820862,-0.000748917926102877
-2.55210876464844,-0.000759550428483635
-2.55710482597351,-0.000770380371250212
-2.5621771812439,-0.000780947972089052
-2.56718158721924,-0.000791701138950884
-2.57218861579895,-0.000802326074335724
-2.57715845108032,-0.00081316934665665
-2.58216691017151,-0.000824499526061118
-2.58716058731079,-0.000835579354315996
-2.59217214584351,-0.000846926413942128
-2.59718155860901,-0.000857737148180604
-2.60216045379639,-0.000868720293510705
-2.60716390609741,-0.000880373583640903
-2.61215996742249,-0.000891751318704337
-2.61717104911804,-0.000902935047633946
-2.62214159965515,-0.000914169650059193
-2.62714648246765,-0.000925452739465982
-2.63216614723206,-0.000937018601689488
-2.63711285591125,-0.000948711589444429
-2.64210677146912,-0.000959839497227222
-2.64712715148926,-0.000971296860370785
-2.65217065811157,-0.000983099802397192
-2.65717625617981,-0.000994474394246936
-2.66212344169617,-0.00100613280665129
-2.66715717315674,-0.00102688767947257
-2.67214107513428,-0.00103068258613348
-2.6770932674408,-0.00104043539613485
-2.68211269378662,-0.00105143955443054
-2.68713164329529,-0.00106259062886238
-2.69214391708374,-0.00107460329309106
-2.69709420204163,-0.00108715519309044
-2.70212864875793,-0.00109968474134803
-2.70710349082947,-0.00111173081677407
-2.7121729850769,-0.00112452998291701
-2.71709203720093,-0.00113689119461924
-2.72210359573364,-0.00114958849735558
-2.72716617584229,-0.00116274191532284
-2.73214888572693,-0.00117653363849968
-2.73717856407166,-0.00119106634519994
-2.74213600158691,-0.001204963773489
-2.74708843231201,-0.00121836108155549
-2.75211381912231,-0.001232267357409
-2.75711846351624,-0.00124647316988558
-2.76211357116699,-0.00126007373910397
-2.76712036132813,-0.00127432320732623
-2.77214670181274,-0.00128845614381135
-2.77713203430176,-0.00130356301087886
-2.78209733963013,-0.0013187990989536
-2.7871150970459,-0.00133327126968652
-2.7920937538147,-0.00134842714760453
-2.79711198806763,-0.00136373157147318
-2.80206894874573,-0.00137913343496621
-2.8071129322052,-0.00139520654920489
-2.81211185455322,-0.00141105649527162
-2.81711792945862,-0.00142750015947968
-2.82208037376404,-0.0014438423095271
-2.82709956169128,-0.00146069854963571
-2.83207082748413,-0.00147928181104362
-2.83708047866821,-0.00149707344826311
-2.84206986427307,-0.00151617592200637
-2.84705972671509,-0.00153357558883727
-2.85209918022156,-0.00155194068793207
-2.85710048675537,-0.00157005549408495
-2.8620822429657,-0.0015881716972217
-2.8670289516449,-0.00160626647993922
-2.87211060523987,-0.00162612751591951
-2.87703943252563,-0.00164488342124969
-2.88204336166382,-0.0016653424827382
-2.88709282875061,-0.00168536300770938
-2.89211249351501,-0.00170618772972375
