Potential (V),Current (A)
-1.79986572265625,-0.000045363722165348
-1.80228471755981,-0.0000457835230918135
-1.8072943687439,-0.0000465168050141074
-1.81229674816132,-0.0000472872561658733
-1.81727635860443,-0.0000480964736198075
-1.82228410243988,-0.0000487829456687905
-1.82728099822998,-0.0000494849409733433
-1.83231055736542,-0.0000502510847582016
-1.8372631072998,-0.0000510683639731724
-1.842240691185,-0.0000520534849783871
-1.84728801250458,-0.0000529629360244144
-1.8523051738739,-0.0000539159955224022
-1.85729289054871,-0.000054786305554444
-1.86223340034485,-0.0000558960709895473
-1.86728501319885,-0.0000568812938581686
-1.87232840061188,-0.0000579374791414011
-1.87722408771515,-0.0000589220035180915
-1.88224470615387,-0.0000601045467192307
-1.88724255561829,-0.0000612231087870896
-1.89222931861877,-0.0000624377717031166
-1.89730286598206,-0.0000637889388599433
-1.90223371982574,-0.0000649875510134734
-1.90727508068085,-0.0000663534592604265
-1.91225862503052,-0.0000676511626807041
-1.91721856594086,-0.0000690688248141669
-1.92219293117523,-0.0000705678685335442
-1.92724204063416,-0.0000719524105079472
-1.93226957321167,-0.0000733721026335843
-1.93727719783783,-0.0000750895051169209
-1.94222438335419,-0.0000766797238611616
-1.9472895860672,-0.0000783558643888682
-1.95227289199829,-0.0000801241621957161
-1.95723259449005,-0.000081811027484946
-1.96223568916321,-0.0000835474565974437
-1.96722793579102,-0.0000853815508889966
-1.97228622436523,-0.0000872672171681188
-1.97724688053131,-0.0000891410163603723
-1.98226308822632,-0.0000910403614398092
-1.98722553253174,-0.0000930135574890301
-1.99225533008575,-0.0000951236725086346
-1.99719834327698,-0.0000973148707998917
-2.00218224525452,-0.0000995783120742999
-2.00724911689758,-0.00010182400001213
-2.01224827766418,-0.000104242433735635
-2.01722311973572,-0.000106641884485725
-2.02227282524109,-0.000109145490569063
-2.02720022201538,-0.000111742061562836
-2.03224015235901,-0.000114700451376848
-2.03719592094421,-0.000117801377200522
-2.0421838760376,-0.00012125464854762
-2.04720520973206,-0.000124849786516279
-2.05221462249756,-0.000129146821564063
-2.05720829963684,-0.000134139801957645
-2.06220555305481,-0.000139743904583156
-2.06718850135803,-0.000145833168062381
-2.07224011421204,-0.000152777851326391
-2.07717967033386,-0.000160212090122513
-2.08218574523926,-0.000168024795129895
-2.08725523948669,-0.000176149493199773
-2.09225869178772,-0.000184251301106997
-2.09724807739258,-0.000192256149603054
-2.10218954086304,-0.000200153066543862
-2.10725402832031,-0.000207798817427829
-2.11216235160828,-0.000215317311813124
-2.11723947525024,-0.000222569331526756
-2.12219667434692,-0.00022952635481488
-2.12719893455505,-0.000236094114370644
-2.13224029541016,-0.000242847832851112
-2.13723731040955,-0.000249153352342546
-2.14216279983521,-0.000255344872130081
-2.14719390869141,-0.000261293491348624
-2.1522216796875,-0.000267397437710315
-2.15715670585632,-0.000273303303401917
-2.16216802597046,-0.000279004219919443
-2.16717648506165,-0.000284847104921937
-2.17221117019653,-0.000290903291897848
-2.17719268798828,-0.000297008169582114
-2.18217277526855,-0.000303108477964997
-2.18720388412476,-0.000309498136630282
-2.1921854019165,-0.000316071149427444
-2.19714641571045,-0.000322877953294665
-2.20215201377869,-0.000330077891703695
-2.20718550682068,-0.000337753444910049
-2.21217632293701,-0.000345793669112027
-2.21717524528503,-0.000354152056388557
-2.22218012809753,-0.000362847407814115
-2.22720003128052,-0.000371980626368895
-2.23217296600342,-0.000381743244361132
-2.23717737197876,-0.000391440757084638
-2.24213767051697,-0.000401795579819009
-2.24715232849121,-0.000412786233937368
-2.25218558311462,-0.000423885358031839
-2.25718522071838,-0.000435374968219548
-2.26221418380737,-0.000447065831394866
-2.26714825630188,-0.000459013186627999
-2.27217841148376,-0.000471071398351341
-2.27713251113892,-0.000483540265122429
-2.28214716911316,-0.000496064079925418
-2.28716731071472,-0.000508728786371648
-2.29215407371521,-0.000521420675795525
-2.29715514183044,-0.000533906277269125
-2.30215787887573,-0.000546498165931553
-2.30713105201721,-0.000558911415282637
-2.312166929245,-0.000571427692193538
-2.31717967987061,-0.000583991000894457
-2.3220751285553,-0.000596265366766602
-2.32714867591858,-0.000608638685662299
-2.33215546607971,-0.000620505481492728
-2.33712816238403,-0.000632642069831491
-2.3421356678009,-0.000644274172373116
-2.34710931777954,-0.000655615236610174
-2.35211563110352,-0.000667002983391285
-2.35715174674988,-0.000677809293847531
-2.36209273338318,-0.0006888413336128
-2.36712574958801,-0.000699504103977233
-2.37211513519287,-0.000710075895767659
-2.3771071434021,-0.00072030711453408
-2.3821268081665,-0.000730226573068649
-2.38711404800415,-0.000739996728952974
-2.39216446876526,-0.000749925849959254
-2.39714121818542,-0.00075946789002046
-2.40207028388977,-0.000769067613873631
-2.40711569786072,-0.000778836896643043
-2.41212391853333,-0.000788713688962162
-2.41712856292725,-0.000798539142124355
-2.42211413383484,-0.000808391894679517
-2.42710471153259,-0.000818493950646371
-2.43215537071228,-0.000828564399853349
-2.43707036972046,-0.000838764593936503
-2.44206237792969,-0.00084951741155237
-2.44709992408752,-0.000860264641232789
-2.45211815834045,-0.000871172989718616
-2.45711445808411,-0.000882158055901527
-2.46213936805725,-0.000893610471393913
-2.46710634231567,-0.000905169174075127
-2.47213888168335,-0.000916985620278865
-2.4771134853363,-0.000928701076190919
-2.48207974433899,-0.000940715079195797
-2.48710036277771,-0.000953001261223108
-2.49212431907654,-0.000965946761425585
-2.49712085723877,-0.000978430733084679
