Potential (V),Current (A)
-0.749820411205292,-0.0000129864483824349
-0.753318071365356,-0.0000138221685119788
-0.758307814598084,-0.0000145020212585223
-0.7633096575737,-0.0000150966852743295
-0.768314242362976,-0.0000156576716108248
-0.773310959339142,-0.0000162277574418113
-0.778301000595093,-0.0000167816833709367
-0.783301174640656,-0.0000173404641827801
-0.788305759429932,-0.0000179691742232535
-0.793307363986969,-0.0000186056640814058
-0.798303484916687,-0.0000192536008398747
-0.803299963474274,-0.0000199679197976366
-0.808294832706451,-0.00002069113907055
-0.813304305076599,-0.0000214761475945124
-0.818290650844574,-0.0000222714297706261
-0.823297619819641,-0.0000230809400818544
-0.828292429447174,-0.0000239437868003733
-0.833287239074707,-0.000024826762455632
-0.838274896144867,-0.0000256876628554892
-0.843292653560638,-0.0000266665883827955
-0.848288178443909,-0.0000276157679763855
-0.853283643722534,-0.0000286168888123939
-0.858276188373566,-0.0000296290490950923
-0.863280713558197,-0.0000306649708363693
-0.868271112442017,-0.0000317120466206688
-0.873281121253967,-0.0000327486050082371
-0.878277778625488,-0.0000337719611707143
-0.883279383182526,-0.0000348616340488661
-0.888276696205139,-0.000035973822377855
-0.893275499343872,-0.0000370575435226783
-0.898269653320313,-0.0000381521240342408
-0.903271615505219,-0.0000392625952372327
-0.908260464668274,-0.0000403727790398989
-0.913260042667389,-0.0000415141985286027
-0.918252527713776,-0.0000426817132392898
-0.923252046108246,-0.0000438905226474162
-0.928256273269653,-0.0000451670566690154
-0.933260798454285,-0.0000465449265902862
-0.938251078128815,-0.0000480770286230836
-0.943255364894867,-0.0000497521286888514
-0.948249220848084,-0.0000516676263941918
-0.95324832201004,-0.0000538108979526442
-0.958253622055054,-0.0000563096618861891
-0.963260650634766,-0.0000591347270528786
-0.968263864517212,-0.0000624014501227066
-0.973260045051575,-0.0000660698497085832
-0.978253364562988,-0.0000701666722306982
-0.983245372772217,-0.0000747274025343359
-0.988244414329529,-0.0000797763495938852
-0.993243813514709,-0.0000853128076414578
-0.998241186141968,-0.0000913430994842201
-1.00325000286102,-0.000097864780400414
-1.00824201107025,-0.000104881670267787
-1.01323711872101,-0.000112456786155235
-1.01824903488159,-0.00012054877151968
-1.02324557304382,-0.000129148451378569
-1.0282347202301,-0.000138299204991199
-1.03323376178741,-0.000148031307617202
-1.03823256492615,-0.000158321592607535
-1.04323709011078,-0.000169172417372465
-1.04823040962219,-0.000180637449375354
-1.05322921276093,-0.000192674808204174
-1.05822575092316,-0.00020532394410111
-1.06323039531708,-0.000218588233110495
-1.06821668148041,-0.000232490041526034
-1.07321763038635,-0.000247032643528655
-1.07821679115295,-0.00026220569270663
-1.08322846889496,-0.000278068851912394
-1.08821856975555,-0.000294641678920016
-1.09322309494019,-0.000311869691358879
-1.09822261333466,-0.000329796079313383
-1.10321700572968,-0.000348410743754357
-1.10821163654327,-0.000367783650290221
-1.11321365833282,-0.000387884967494756
-1.11820554733276,-0.00040876746061258
-1.12321472167969,-0.000430329120717943
-1.12819969654083,-0.000452663633041084
-1.1332061290741,-0.000475883629405871
-1.13819587230682,-0.000500007998198271
-1.14320194721222,-0.000524839269928634
-1.14818978309631,-0.00055052136303857
-1.15319240093231,-0.000577165861614048
-1.15819346904755,-0.00060472427867353
-1.1631977558136,-0.000633107498288155
-1.16818988323212,-0.000662525009829551
-1.17319548130035,-0.000692735135089606
-1.17818260192871,-0.000724082929082215
-1.18319153785706,-0.000756399123929441
-1.18817627429962,-0.000789718120358884
-1.19317603111267,-0.000823957321699709
-1.19817340373993,-0.000859238905832171
-1.20317244529724,-0.000894782540854067
-1.20817005634308,-0.000932212395127863
-1.21317279338837,-0.000971022353041917
-1.21771240234375,-0.0010072102304548
-1.22317659854889,-0.00105157401412725
-1.22817540168762,-0.00109303474891931
-1.23317384719849,-0.00113593449350446
-1.23817324638367,-0.00117972446605563
-1.24317598342896,-0.00122480990830809
-1.24816119670868,-0.0012711234157905
-1.25316417217255,-0.00131826265715063
-1.25816607475281,-0.00136685092002153
-1.26316964626312,-0.00141635618638247
-1.26816654205322,-0.00146691547706723
-1.27316296100616,-0.00151854706928134
-1.2781617641449,-0.00157152721658349
-1.28317093849182,-0.00162525940686464
-1.28815197944641,-0.00168049021158367
-1.29315209388733,-0.00173612160142511
-1.29815149307251,-0.00179319188464433
-1.30315160751343,-0.00185150105971843
-1.30814862251282,-0.0019104095408693
-1.31315231323242,-0.00197030184790492
-1.31814610958099,-0.00203131954185665
-1.32315063476563,-0.00209246319718659
-1.3281524181366,-0.00215404201298952
-1.33315062522888,-0.00221694563515484
-1.33814358711243,-0.00228125276044011
-1.34314477443695,-0.00234652380459011
-1.34813356399536,-0.00241277157329023
-1.35313284397125,-0.00247950991615653
-1.3581348657608,-0.00254727224819362
-1.3631374835968,-0.00261581153608859
-1.3681309223175,-0.00268503162078559
-1.37312865257263,-0.00275496672838926
-1.37812829017639,-0.00282526970840991
-1.38311803340912,-0.00289797107689083
-1.38812100887299,-0.00297067617066205
-1.39311850070953,-0.00304493284784257
