Potential (V),Current (A)
-0.749863982200623,-0.0000149303168655024
-0.753362119197845,-0.0000157319573190762
-0.758351683616638,-0.0000163747045007767
-0.763366878032684,-0.000016910924387048
-0.768361449241638,-0.0000174101369339041
-0.773365020751953,-0.0000179129965545144
-0.778355360031128,-0.000018431228454574
-0.783354580402374,-0.0000189929050975479
-0.788353502750397,-0.0000195656848518411
-0.793352365493774,-0.0000201648344955174
-0.798348367214203,-0.0000208112905966118
-0.803357183933258,-0.0000214790852623992
-0.80834573507309,-0.0000221760037675267
-0.81334924697876,-0.0000229064735322027
-0.818335235118866,-0.000023671702365391
-0.823346257209778,-0.000024470326025039
-0.828333020210266,-0.0000252959234785521
-0.833340466022491,-0.0000261387176578864
-0.838329374790192,-0.0000270344189630123
-0.84334409236908,-0.0000279591567959869
-0.848333895206451,-0.0000288911396637559
-0.853335559368134,-0.0000298779486911371
-0.858337819576263,-0.0000308827329718042
-0.863337278366089,-0.0000319272367050871
-0.868329346179962,-0.0000329994763887953
-0.873333692550659,-0.0000340800615958869
-0.878327965736389,-0.0000352041388396174
-0.883341193199158,-0.0000363449871656485
-0.888325035572052,-0.000037510682886932
-0.893329799175262,-0.0000387215877708513
-0.898331463336945,-0.0000399501586798579
-0.903330683708191,-0.000041191371565219
-0.908323705196381,-0.0000424904173996765
-0.913318574428558,-0.0000438224815297872
-0.91831386089325,-0.0000451905616500881
-0.923330247402191,-0.000046639732317999
-0.928321123123169,-0.0000481679126096424
-0.933323979377747,-0.000049800055421656
-0.938322782516479,-0.0000515570827701595
-0.943326652050018,-0.0000534818500455003
-0.948320150375366,-0.0000556167469767388
-0.953323066234589,-0.0000579572697461117
-0.95832496881485,-0.0000605660206929315
-0.963340938091278,-0.0000634622701909393
-0.968330323696136,-0.0000667041458655149
-0.973325371742249,-0.0000702926117810421
-0.978325426578522,-0.0000742676493246108
-0.983326494693756,-0.0000786525197327137
-0.988319396972656,-0.0000834601960377768
-0.993321299552917,-0.0000886765556060709
-0.99831235408783,-0.0000944234125199728
-1.00332057476044,-0.000100613622635137
-1.00832009315491,-0.0001072636077879
-1.01331520080566,-0.000114415197458584
-1.01831555366516,-0.00012206872634124
-1.02332055568695,-0.000130191256175749
-1.02831542491913,-0.000138887466164306
-1.03330886363983,-0.000148094797623344
-1.03830659389496,-0.000157815025886521
-1.0433224439621,-0.000168082435266115
-1.04831206798553,-0.00017883260443341
-1.05330681800842,-0.000190017119166441
-1.05830907821655,-0.000202135517611168
-1.06330537796021,-0.000214694417081773
-1.06830787658691,-0.000227825803449377
-1.07330417633057,-0.000241577625274658
-1.07829976081848,-0.000255848077358678
-1.08330762386322,-0.000270768592599779
-1.08830285072327,-0.000286356604192406
-1.09330379962921,-0.000302489846944809
-1.09829962253571,-0.000319247046718374
-1.10330486297607,-0.000336772704031318
-1.10828840732574,-0.000354881514795125
-1.11329400539398,-0.000373630638932809
-1.1182873249054,-0.000393178896047175
-1.12329828739166,-0.000413196918088943
-1.12828731536865,-0.00043394960812293
-1.13329291343689,-0.000455626810435206
-1.13828718662262,-0.000477859372040257
-1.14329636096954,-0.00050080381333828
-1.14829123020172,-0.000524743052665144
-1.15329194068909,-0.000549299991689622
-1.15827643871307,-0.000574795180000365
-1.16328918933868,-0.000601097592152655
-1.16827738285065,-0.000628346810117364
-1.17328953742981,-0.000656394753605127
-1.17827785015106,-0.000685565057210624
-1.18328380584717,-0.000714995840098709
-1.18826985359192,-0.000745518191251904
-1.19326961040497,-0.00077737815445289
-1.19826543331146,-0.000809845922049135
-1.20327007770538,-0.000842815265059471
-1.20826232433319,-0.000877745158504695
-1.21326398849487,-0.000913048337679356
-1.21826529502869,-0.000949730514548719
-1.22325623035431,-0.000987166538834572
-1.22819375991821,-0.00102730223443359
-1.23326694965363,-0.00106468610465527
-1.23826313018799,-0.00110551016405225
-1.24326801300049,-0.00114666135050356
-1.24827373027802,-0.00118885759729892
-1.25326502323151,-0.00123227399308234
-1.25827038288116,-0.00127644324675202
-1.26326382160187,-0.00132171623408794
-1.26826310157776,-0.00136833649594337
-1.27325344085693,-0.00141611439175904
-1.27825236320496,-0.00146492710337043
-1.28326320648193,-0.00151497882325202
-1.28825211524963,-0.00156440737191588
-1.29325783252716,-0.00161567504983395
-1.29825603961945,-0.00166851573158056
-1.30325984954834,-0.00172056606970727
-1.3082480430603,-0.00177434785291553
-1.31325364112854,-0.00183120742440224
-1.31824147701263,-0.00188673508819193
-1.32325851917267,-0.00194289558567107
-1.32825303077698,-0.00200138241052628
-1.33324646949768,-0.0020599327981472
-1.3382443189621,-0.00211884803138673
-1.34324240684509,-0.00218078074976802
-1.34824073314667,-0.00224076327867806
-1.35324597358704,-0.00230273953638971
-1.35823607444763,-0.0023656643461436
-1.36324572563171,-0.00242695841006935
-1.36824011802673,-0.00249015795998275
-1.37323272228241,-0.00255550374276936
-1.37822580337524,-0.00261607905849814
-1.38323664665222,-0.00268069584853947
-1.3882315158844,-0.00274915155023336
-1.39322888851166,-0.00281478720717132
