Potential (V),Current (A)
-0.749854981899261,-0.000017410988220945
-0.753348886966705,-0.0000183928077603923
-0.758333206176758,-0.000019132485249429
-0.763346016407013,-0.0000197559038497275
-0.76833713054657,-0.0000203251984203234
-0.773331582546234,-0.0000208726978598861
-0.778341114521027,-0.0000214364681596635
-0.783332586288452,-0.0000220106321648927
-0.788332521915436,-0.0000226022148126503
-0.793341755867004,-0.0000232234142458765
-0.798330128192902,-0.0000238641387113603
-0.803329765796661,-0.0000245321298280032
-0.808332085609436,-0.0000252266127063194
-0.813341557979584,-0.0000259183289017528
-0.818325936794281,-0.0000266503338934854
-0.823322594165802,-0.0000274062349490123
-0.82832932472229,-0.0000281938973785145
-0.833325862884521,-0.0000290080733975628
-0.838321566581726,-0.000029829852792318
-0.843330502510071,-0.0000306779984384775
-0.848320066928864,-0.0000315178513119463
-0.853320777416229,-0.000032399930205429
-0.85831880569458,-0.0000332905765390024
-0.863319635391235,-0.0000342010098393075
-0.868312954902649,-0.0000351266353391111
-0.873313665390015,-0.0000360483900294639
-0.878306031227112,-0.0000370128182112239
-0.883321702480316,-0.0000379872653866187
-0.888311803340912,-0.0000389799351978581
-0.893311858177185,-0.0000399930177081842
-0.898304224014282,-0.0000410331158491317
-0.903313875198364,-0.0000421380245825276
-0.908297836780548,-0.0000432857050327584
-0.913303315639496,-0.0000444904726464301
-0.918303549289703,-0.0000457934802398086
-0.923301994800568,-0.0000472077808808535
-0.928290009498596,-0.0000487731776956934
-0.933299243450165,-0.0000505095849803183
-0.938298344612122,-0.0000524513416166883
-0.94330632686615,-0.0000546308947377838
-0.94829386472702,-0.0000570727061131038
-0.953294515609741,-0.0000598237238591537
-0.958299696445465,-0.0000629250207566656
-0.963310360908508,-0.0000663735918351449
-0.968309998512268,-0.0000702047109371051
-0.973307013511658,-0.000074467396188993
-0.97830718755722,-0.0000791310667409562
-0.983300149440765,-0.0000842348745209165
-0.98830109834671,-0.000089801091235131
-0.993294477462769,-0.0000958256132435054
-0.998294472694397,-0.000102328194770962
-1.0033004283905,-0.00010930270946119
-1.00830137729645,-0.000116726318083238
-1.01329636573792,-0.000124617945402861
-1.01829493045807,-0.000133124645799398
-1.02329015731812,-0.00014212641690392
-1.02829265594482,-0.000151632659253664
-1.03327977657318,-0.000161679665325209
-1.03828096389771,-0.000172272266354412
-1.04328489303589,-0.000183399490197189
-1.04828417301178,-0.000195078042452224
-1.0532808303833,-0.000207338933250867
-1.05827724933624,-0.000220191475818865
-1.0632735490799,-0.000233610757277347
-1.06828093528748,-0.000247612566454336
-1.07328081130981,-0.00026222164160572
-1.07827353477478,-0.000277455255854875
-1.08328950405121,-0.000293328950647265
-1.08827567100525,-0.000309797032969072
-1.09328007698059,-0.000326907611452043
-1.09825932979584,-0.000344622880220413
-1.10327136516571,-0.000363046157872304
-1.108269572258,-0.000382175843697041
-1.11326563358307,-0.000401984638301656
-1.11826193332672,-0.00042236057925038
-1.12327170372009,-0.000443468190496787
-1.12826597690582,-0.000465449324110523
-1.13326191902161,-0.000488015270093456
-1.13826167583466,-0.000511366524733603
-1.14326083660126,-0.000535474740900099
-1.14824998378754,-0.000560300017241389
-1.15325796604156,-0.000585907371714711
-1.15824806690216,-0.000612459552939981
-1.16325390338898,-0.000639568781480193
-1.16825032234192,-0.000667604384943843
-1.173255443573,-0.000696487375535071
-1.17824614048004,-0.000726124446373433
-1.18325674533844,-0.000756632653065026
-1.18824625015259,-0.000787914032116532
-1.19324612617493,-0.000820061133708805
-1.1982501745224,-0.000853077857755125
-1.203244805336,-0.000886969326529652
-1.20824265480042,-0.000921595492400229
-1.21324670314789,-0.000957431620918214
-1.21824419498444,-0.000994170550256968
-1.22321784496307,-0.00103269971441478
-1.2282372713089,-0.00107060268055648
-1.23323667049408,-0.00111003406345844
-1.23824298381805,-0.00115002680104226
-1.24324715137482,-0.00119153677951545
-1.24823307991028,-0.00123394490219653
-1.25323438644409,-0.00127705151680857
-1.25823330879211,-0.00132121099159122
-1.26323366165161,-0.00136655906680971
-1.26822876930237,-0.00141249038279057
-1.27323698997498,-0.00145932380110025
-1.27824366092682,-0.00150693592149764
-1.28323817253113,-0.00155545840971172
-1.28822755813599,-0.00160536949988455
-1.29324042797089,-0.00165632797870785
-1.29822742938995,-0.00170690461527556
-1.30322897434235,-0.00175938056781888
-1.3082240819931,-0.00181278982199728
-1.31321847438812,-0.00186654622666538
-1.31821835041046,-0.00192131812218577
-1.32322466373444,-0.00197642552666366
-1.32822322845459,-0.00203244597651064
-1.33322203159332,-0.0020893590990454
-1.33822703361511,-0.00214739167131484
-1.34321665763855,-0.00220570457167923
-1.34821212291718,-0.00226516975089908
-1.35321319103241,-0.00232524238526821
-1.3581999540329,-0.0023848507553339
-1.36321198940277,-0.00244597997516394
-1.36821031570435,-0.00250745541416109
-1.37320148944855,-0.00256875203922391
-1.3782069683075,-0.00263184355571866
-1.38320291042328,-0.00269471667706966
-1.38819253444672,-0.00275797443464398
-1.39320230484009,-0.00282198190689087
-1.39803624153137,-0.00288332556374371
