Potential (V),Current (A)
-0.74973601102829,-0.00000757059433453833
-0.753239274024963,-0.00000781402832217282
-0.758229553699493,-0.00000796912172518205
-0.76324462890625,-0.00000810219171398785
-0.768232524394989,-0.00000822520269139204
-0.773229837417603,-0.00000835000810184283
-0.778219521045685,-0.00000847887440613704
-0.783226728439331,-0.00000861005719343666
-0.788221180438995,-0.00000874405577633297
-0.793211340904236,-0.0000088847345978138
-0.798207938671112,-0.00000903238378668902
-0.803216755390167,-0.00000918960813578451
-0.808215439319611,-0.00000935648677113932
-0.813217103481293,-0.00000953702146944124
-0.818203747272491,-0.00000972089401329868
-0.823203146457672,-0.00000992110471997876
-0.828195810317993,-0.0000101184687082423
-0.833205699920654,-0.0000103290958577418
-0.838190734386444,-0.0000105531462395447
-0.843191266059875,-0.0000107916748675052
-0.84818834066391,-0.0000110463433884433
-0.853194892406464,-0.00001131005865318
-0.858177840709686,-0.0000115861048470833
-0.863191366195679,-0.0000118757016025484
-0.868165850639343,-0.000012179641998955
-0.873178720474243,-0.0000125017932077753
-0.878165543079376,-0.0000128411065816181
-0.883174240589142,-0.0000131968554342166
-0.888164460659027,-0.0000135635200422257
-0.893164098262787,-0.0000139511839734041
-0.898167014122009,-0.000014356528481585
-0.903164684772491,-0.0000147824175655842
-0.908160269260406,-0.0000152382153828512
-0.913151144981384,-0.000015714422261226
-0.918146908283234,-0.0000162186497618677
-0.923160552978516,-0.000016746467736084
-0.928147196769714,-0.0000173118460224941
-0.933152437210083,-0.0000179120506800245
-0.938152253627777,-0.0000185501885425765
-0.943147778511047,-0.0000192317311302759
-0.948140919208527,-0.0000199648438865552
-0.953133523464203,-0.0000207520661206217
-0.958143830299377,-0.0000216000389627879
-0.963146924972534,-0.0000225129315367667
-0.968142032623291,-0.0000234941562666791
-0.973143219947815,-0.0000245601313508814
-0.978131592273712,-0.0000257113915722584
-0.983131349086761,-0.000026954021450365
-0.988127887248993,-0.0000283043973468011
-0.993129968643188,-0.000029763781640213
-0.998115479946136,-0.0000313395576085895
-1.00312721729279,-0.0000330392322211992
-1.0081102848053,-0.0000348648754879832
-1.01312518119812,-0.0000368343680747785
-1.01810884475708,-0.0000389419474231545
-1.02311754226685,-0.0000412095796491485
-1.02810144424438,-0.0000436244772572536
-1.03310561180115,-0.0000462193347630091
-1.03810155391693,-0.0000489857811771799
-1.04309892654419,-0.0000519285531481728
-1.04810059070587,-0.0000550653021491598
-1.05310249328613,-0.0000583902838116046
-1.05808746814728,-0.0000619186976109631
-1.06309020519257,-0.0000656475967844017
-1.0680810213089,-0.0000695995913702063
-1.07308483123779,-0.0000737688387744129
-1.07806873321533,-0.0000781732378527522
-1.08308672904968,-0.0000828218617243692
-1.08807921409607,-0.0000877099882927723
-1.09307527542114,-0.0000928484005271457
-1.09807169437408,-0.0000982566343736835
-1.10307633876801,-0.000103738108009566
-1.10806918144226,-0.000109888838778716
-1.1130542755127,-0.000116165603685658
-1.11805701255798,-0.000122695215395652
-1.12307107448578,-0.000129575608298182
-1.12805533409119,-0.000136741218739189
-1.13305139541626,-0.000144230274599977
-1.13805329799652,-0.000152052438352257
-1.14304327964783,-0.000160230905748904
-1.14803600311279,-0.000168779777595773
-1.15303921699524,-0.000177715613972396
-1.15803635120392,-0.00018701639783103
-1.16304063796997,-0.000196643450181
-1.16804337501526,-0.00020674939150922
-1.17304134368896,-0.00021725261467509
-1.17804431915283,-0.000228128803428262
-1.18303179740906,-0.000239437213167548
-1.18802154064178,-0.000251219200436026
-1.19302868843079,-0.000263298657955602
-1.19801807403564,-0.000276106176897883
-1.20302677154541,-0.000289355521090329
-1.2080135345459,-0.000303050415823236
-1.21301829814911,-0.000317312369588763
-1.2180153131485,-0.000332136929500848
-1.22300350666046,-0.000347369845258072
-1.22800588607788,-0.000363116181688383
-1.23300004005432,-0.000379400386009365
-1.23799896240234,-0.00039626396028325
-1.24300193786621,-0.000413907313486561
-1.24800336360931,-0.000432065047789365
-1.25299382209778,-0.000450514024123549
-1.2579859495163,-0.000469643826363608
-1.26298940181732,-0.000489445636048913
-1.26798212528229,-0.000509838340803981
-1.27299320697784,-0.000530944962520152
-1.27797961235046,-0.000552694022189826
-1.28298997879028,-0.000575043086428195
-1.28798341751099,-0.000598087848629802
-1.29297626018524,-0.000621707295067608
-1.29797124862671,-0.000645824417006224
-1.30296814441681,-0.000670268316753209
-1.3079686164856,-0.000695112452376634
-1.31296193599701,-0.000721515796612948
-1.31795799732208,-0.000748401915188879
-1.32297098636627,-0.000776115222834051
-1.3279515504837,-0.000803626724518836
-1.33296263217926,-0.000832092599011958
-1.33794450759888,-0.000860916741658002
-1.34295296669006,-0.000889974471647292
-1.34793186187744,-0.000919898448046297
-1.35294330120087,-0.000950511544942856
-1.35793364048004,-0.000980897224508226
-1.36237120628357,-0.00101024471223354
-1.36793863773346,-0.00104608689434826
-1.3729419708252,-0.00107839051634073
-1.37793242931366,-0.00111155735794455
-1.38293969631195,-0.00114516669418663
-1.38792204856873,-0.0011789589188993
-1.39293169975281,-0.00121367746032774
