Potential (V),Current (A)
-1.80008053779602,-0.000052792009228142
-1.8024982213974,-0.0000535436847712845
-1.80748629570007,-0.0000553967256564647
-1.81253886222839,-0.0000573462821193971
-1.81751179695129,-0.0000593540607951581
-1.82246387004852,-0.0000614773671259172
-1.8275328874588,-0.00006374619260896
-1.83252024650574,-0.0000660659352433868
-1.83749389648438,-0.0000685533959767781
-1.84245753288269,-0.000071109774580691
-1.84748816490173,-0.0000738769449526444
-1.85250413417816,-0.0000768441095715389
-1.85752809047699,-0.0000799003391875885
-1.86247718334198,-0.0000831490906421095
-1.86747813224792,-0.0000866217815200798
-1.87250661849976,-0.0000903315449249931
-1.87746405601501,-0.0000942583355936222
-1.88248121738434,-0.0000984078724286519
-1.88748908042908,-0.000102833728305995
-1.89251840114594,-0.000107556763396133
-1.89748382568359,-0.00011253594129812
-1.90248441696167,-0.000117898314783815
-1.90744233131409,-0.000123575329780579
-1.91250765323639,-0.000129714186186902
-1.91746950149536,-0.000136134854983538
-1.92244529724121,-0.000143244382343255
-1.92750000953674,-0.000150524341734126
-1.93253898620605,-0.00015817851817701
-1.9375239610672,-0.00016618134395685
-1.94249176979065,-0.000174859756953083
-1.94745790958405,-0.000184072472620755
-1.95250689983368,-0.000193829968338832
-1.95743703842163,-0.000204071911866777
-1.9624605178833,-0.000214797197259031
-1.96746468544006,-0.000226082556764595
-1.97246956825256,-0.000237879372434691
-1.97745358943939,-0.000250018580118194
-1.98248159885406,-0.000262598507106304
-1.98745715618134,-0.000275479658739641
-1.99247634410858,-0.000288670649752021
-1.99742305278778,-0.000301821739412844
-2.00239324569702,-0.000315276236506179
-2.00750494003296,-0.000328864116454497
-2.0124397277832,-0.000342471990734339
-2.0174617767334,-0.000356049480615184
-2.02246642112732,-0.000369513756595552
-2.02744555473328,-0.000382897938834503
-2.03245449066162,-0.000396251998608932
-2.03745555877686,-0.000409264408517629
-2.04244518280029,-0.000422203243942931
-2.04744386672974,-0.000435034075053409
-2.05241703987122,-0.000447708967840299
-2.05740714073181,-0.000460097624454647
-2.06243467330933,-0.000472464220365509
-2.06739950180054,-0.000484674441395327
-2.07241058349609,-0.000497001456096768
-2.07740831375122,-0.000508958764839917
-2.08245873451233,-0.000520933885127306
-2.08751749992371,-0.000532932172063738
-2.09248399734497,-0.000544837501365691
-2.09747982025146,-0.000556625600438565
-2.10243010520935,-0.000568433781154454
-2.10742378234863,-0.00058032339438796
-2.11243343353271,-0.000592281867284328
-2.1174464225769,-0.000604044878855348
-2.12237787246704,-0.000615901371929795
-2.12741160392761,-0.000627823988907039
-2.13245272636414,-0.000639799924101681
-2.13743472099304,-0.000651710201054811
-2.14242053031921,-0.000663676706608385
-2.1474187374115,-0.000675706949550658
-2.15243530273438,-0.0006879479624331
-2.15739059448242,-0.000699901953339577
-2.16238760948181,-0.000711980799678713
-2.16740870475769,-0.000724174780771136
-2.17241764068604,-0.000736608053557575
-2.17743992805481,-0.000748891965486109
-2.18242740631104,-0.000761134608183056
-2.18738675117493,-0.000773632840719074
-2.19242835044861,-0.000786430318839848
-2.19737005233765,-0.000798955326899886
-2.2023720741272,-0.000811708334367722
-2.20742130279541,-0.000824574730359018
-2.21243858337402,-0.000837634433992207
-2.21742081642151,-0.000850684649776667
-2.22240972518921,-0.000863843772094697
-2.22740769386292,-0.000877196784131229
-2.23241806030273,-0.000890938274096698
-2.23739171028137,-0.000904418528079987
-2.24235939979553,-0.000918043660931289
-2.24739789962769,-0.000932034803554416
-2.25240039825439,-0.000946187588851899
-2.25739312171936,-0.000960433972068131
-2.26240682601929,-0.000974883500020951
-2.26738691329956,-0.000989507068879902
-2.27240633964539,-0.00100454140920192
-2.27733969688416,-0.00101851252838969
-2.28236675262451,-0.00103358097840101
-2.28741431236267,-0.00104907958302647
-2.29240012168884,-0.00106508051976562
-2.29737210273743,-0.00108091079164296
-2.30237674713135,-0.0010971991578117
-2.30738115310669,-0.00111360859591514
-2.31240248680115,-0.00113100907765329
-2.31736540794373,-0.00114749022759497
-2.32233953475952,-0.00116415473166853
-2.3273777961731,-0.00118149083573371
-2.33241772651672,-0.00119912717491388
-2.3373863697052,-0.00121652544476092
-2.34231519699097,-0.00123428762890399
-2.34733963012695,-0.00125249300617725
-2.35238027572632,-0.00127093424089253
-2.35732698440552,-0.00128959584981203
-2.36237192153931,-0.00130833289586008
-2.36734318733215,-0.00132728461176157
-2.37235164642334,-0.00134670664556324
-2.37733697891235,-0.00136607023887336
-2.38233590126038,-0.00138553790748119
-2.38736701011658,-0.00140517216641456
-2.39234662055969,-0.00142560689710081
-2.39734554290771,-0.00144579797051847
-2.40236282348633,-0.00146606611087918
-2.40734529495239,-0.00148712785448879
-2.41233944892883,-0.00150781753472984
-2.41734004020691,-0.00152878055814654
-2.42233729362488,-0.00154994463082403
-2.42735075950623,-0.00157124339602888
-2.43239498138428,-0.00159272784367204
-2.43729543685913,-0.00161436921916902
-2.44230246543884,-0.00163625506684184
-2.44732546806335,-0.00165839737746865
-2.45235657691956,-0.00168126181233674
-2.45732307434082,-0.00170392682775855
-2.46237111091614,-0.00172650627791882
-2.46731543540955,-0.00174906908068806
-2.47236347198486,-0.0017726281657815
-2.47731757164001,-0.00179569772444665
-2.48231148719788,-0.00181860313750803
-2.48734831809998,-0.00184212520252913
-2.49234771728516,-0.00186598650179803
-2.49732255935669,-0.00189028959721327
-2.50236201286316,-0.0019140352960676
-2.50732326507568,-0.00193822477012873
-2.5123302936554,-0.00196268712170422
-2.51730275154114,-0.001986522693187
-2.52232027053833,-0.0020106437150389
-2.5273711681366,-0.00203707092441618
-2.53234457969666,-0.00206300336867571
-2.537358045578,-0.00208776816725731
-2.54233121871948,-0.00211293809115887
-2.54733562469482,-0.00213719252496958
-2.55235576629639,-0.00216204253956676
-2.55735158920288,-0.00218661106191576
-2.56237292289734,-0.00221189367584884
-2.56745004653931,-0.00223713251762092
-2.57242560386658,-0.0022621382959187
-2.57741284370422,-0.00228750752285123
-2.58237767219543,-0.00231345416978002
-2.58736968040466,-0.00233905063942075
-2.59240174293518,-0.00236590392887592
-2.59740328788757,-0.00239175604656339
-2.60235810279846,-0.00241725472733378
-2.60738468170166,-0.00244323187507689
-2.61242413520813,-0.00246986164711416
-2.6174156665802,-0.00249427044764161
-2.6223931312561,-0.0025197034701705
-2.62734007835388,-0.00254549412056804
-2.63237380981445,-0.00257161981426179
-2.63736057281494,-0.00259681860916317
-2.64235162734985,-0.00262192962691188
-2.64735078811646,-0.00264788675121963
-2.6523756980896,-0.00267743575386703
-2.65736818313599,-0.00270115816965699
-2.66233396530151,-0.0027274857275188
-2.66738319396973,-0.00275729410350323
-2.67241048812866,-0.00278186891227961
-2.67733025550842,-0.00280674151144922
-2.68232297897339,-0.00283259619027376
-2.68732643127441,-0.00285940640605986
-2.6923713684082,-0.00288557959720492
-2.69731259346008,-0.00291163357906044
-2.70231509208679,-0.00294024706818163
-2.70732855796814,-0.00296545540913939
-2.71236085891724,-0.00299253547564149
-2.71728229522705,-0.00301942275837064
-2.72230005264282,-0.00304729049094021
-2.72736310958862,-0.00307565368711948
-2.73230290412903,-0.00310275773517787
-2.73735404014587,-0.0031314620282501
-2.74233078956604,-0.00315847876481712
-2.74733376502991,-0.00318787642754614
-2.75232577323914,-0.0032145194709301
-2.75730347633362,-0.00324188848026097
-2.76228547096252,-0.00327222095802426
-2.76734590530396,-0.00330459279939532
-2.77233123779297,-0.00333109870553017
-2.77734136581421,-0.00336015387438238
-2.78233051300049,-0.00339102791622281
-2.78729367256165,-0.00342002767138183
-2.79228854179382,-0.00345790130086243
